"polySuffix","firstInfYear","firstSurveyYear","leftDataBool","rightDataBool","oneDataBool","bothDataBool","neighbouring_data_cat"
"mask_uga_grid_0",NA,2004,FALSE,FALSE,FALSE,FALSE,"none"
"mask_uga_grid_1",2010,2004,FALSE,FALSE,FALSE,FALSE,"none"
"mask_uga_grid_10",2010,2004,FALSE,FALSE,FALSE,FALSE,"none"
"mask_uga_grid_11",2004,2004,FALSE,TRUE,TRUE,FALSE,"one"
"mask_uga_grid_12",2006,2004,TRUE,TRUE,FALSE,TRUE,"both"
"mask_uga_grid_13",2007,2004,FALSE,TRUE,TRUE,FALSE,"one"
"mask_uga_grid_14",2010,2008,FALSE,FALSE,FALSE,FALSE,"none"
"mask_uga_grid_16",2005,2004,TRUE,TRUE,FALSE,TRUE,"both"
"mask_uga_grid_17",2006,2004,TRUE,TRUE,FALSE,TRUE,"both"
"mask_uga_grid_18",2007,2004,FALSE,TRUE,TRUE,FALSE,"one"
"mask_uga_grid_19",NA,2008,FALSE,FALSE,FALSE,FALSE,"none"
"mask_uga_grid_21",2007,2004,FALSE,TRUE,TRUE,FALSE,"one"
"mask_uga_grid_22",2007,2004,FALSE,TRUE,TRUE,FALSE,"one"
"mask_uga_grid_23",NA,2009,FALSE,FALSE,FALSE,FALSE,"none"
"mask_uga_grid_5",NA,2004,FALSE,FALSE,FALSE,FALSE,"none"
"mask_uga_grid_6",2010,2004,FALSE,FALSE,FALSE,FALSE,"none"
"mask_uga_grid_7",2008,2004,FALSE,TRUE,TRUE,FALSE,"one"
"mask_uga_grid_8",2008,2004,FALSE,FALSE,FALSE,FALSE,"none"
"mask_uga_grid_9",2008,2004,FALSE,FALSE,FALSE,FALSE,"none"
